time	V(vo)	I(Ro)
1.800027315628644e-05	2.429352e+01	4.338129e-01
1.800033837517402e-05	2.429352e+01	4.338129e-01
1.800041231264649e-05	2.429352e+01	4.338128e-01
1.800053065432669e-05	2.429351e+01	4.338127e-01
1.800065524346604e-05	2.429350e+01	4.338126e-01
1.800090442174648e-05	2.429349e+01	4.338124e-01
1.800113693455584e-05	2.429348e+01	4.338122e-01
1.800160196017628e-05	2.429346e+01	4.338118e-01
1.800217695921424e-05	2.429343e+01	4.338113e-01
1.800332695729191e-05	2.429338e+01	4.338104e-01
1.800515577836739e-05	2.429330e+01	4.338089e-01
1.800871267128648e-05	2.429314e+01	4.338060e-01
1.801448485882866e-05	2.429288e+01	4.338014e-01
1.802201107285739e-05	2.429254e+01	4.337953e-01
1.802880289991649e-05	2.429223e+01	4.337899e-01
1.803514586396805e-05	2.429195e+01	4.337848e-01
1.804246225490386e-05	2.429163e+01	4.337790e-01
1.804911514783313e-05	2.429133e+01	4.337738e-01
1.805626050884607e-05	2.429102e+01	4.337682e-01
1.806333343637272e-05	2.429071e+01	4.337626e-01
1.807155336672889e-05	2.429035e+01	4.337562e-01
1.807967267789326e-05	2.428999e+01	4.337499e-01
1.808766592165112e-05	2.428964e+01	4.337436e-01
1.809339424741797e-05	2.428939e+01	4.337392e-01
1.809636636834235e-05	2.428926e+01	4.337368e-01
1.809812263347740e-05	2.428919e+01	4.337355e-01
1.810049926156097e-05	2.428908e+01	4.337336e-01
1.810204269185427e-05	2.428902e+01	4.337324e-01
1.810419468791825e-05	2.428892e+01	4.337308e-01
1.810689866225089e-05	2.428881e+01	4.337287e-01
1.810968643307584e-05	2.428868e+01	4.337265e-01
1.811386796996516e-05	2.428850e+01	4.337233e-01
1.811955120664330e-05	2.428826e+01	4.337189e-01
1.812716260434465e-05	2.428793e+01	4.337130e-01
1.813764917804606e-05	2.428747e+01	4.337049e-01
1.814239008757039e-05	2.428727e+01	4.337012e-01
1.814557052194979e-05	2.428713e+01	4.336987e-01
1.814833932453457e-05	2.428701e+01	4.336966e-01
1.815121741833604e-05	2.428688e+01	4.336943e-01
1.815431229614667e-05	2.428675e+01	4.336919e-01
1.815725474073326e-05	2.428662e+01	4.336897e-01
1.816065476471090e-05	2.428647e+01	4.336870e-01
1.816422841419661e-05	2.428632e+01	4.336843e-01
1.816854790886308e-05	2.428613e+01	4.336809e-01
1.817305451154438e-05	2.428594e+01	4.336774e-01
1.817996370970937e-05	2.428564e+01	4.336721e-01
1.818602330135033e-05	2.428537e+01	4.336674e-01
1.819290229575221e-05	2.428507e+01	4.336621e-01
1.819969206367199e-05	2.428478e+01	4.336568e-01
1.820721477354022e-05	2.428445e+01	4.336510e-01
1.821659587031288e-05	2.428405e+01	4.336437e-01
1.822760817046104e-05	2.428357e+01	4.336352e-01
1.824197532357408e-05	2.428295e+01	4.336241e-01
1.825778383203816e-05	2.428226e+01	4.336118e-01
1.826778485599680e-05	2.428183e+01	4.336041e-01
1.827441928368111e-05	2.428154e+01	4.335989e-01
1.828092609503125e-05	2.428126e+01	4.335939e-01
1.828685784615279e-05	2.428100e+01	4.335893e-01
1.829118284727739e-05	2.428081e+01	4.335859e-01
1.829595872613991e-05	2.428061e+01	4.335822e-01
1.830171812828088e-05	2.428036e+01	4.335778e-01
1.830724292095805e-05	2.428012e+01	4.335735e-01
1.831485921617582e-05	2.427979e+01	4.335676e-01
1.832243166538169e-05	2.427946e+01	4.335618e-01
1.833064887482409e-05	2.427910e+01	4.335554e-01
1.833883998490944e-05	2.427875e+01	4.335490e-01
1.834753475421155e-05	2.427837e+01	4.335423e-01
1.835721756636780e-05	2.427795e+01	4.335348e-01
1.836768415598017e-05	2.427750e+01	4.335267e-01
1.838212251327291e-05	2.427687e+01	4.335155e-01
1.839629959988522e-05	2.427626e+01	4.335046e-01
1.842072763695753e-05	2.427520e+01	4.334857e-01
1.844821101150591e-05	2.427401e+01	4.334644e-01
1.850233463536466e-05	2.427166e+01	4.334225e-01
1.857536823681935e-05	2.426850e+01	4.333660e-01
1.868664763710927e-05	2.426367e+01	4.332799e-01
1.879836963639483e-05	2.425883e+01	4.331934e-01
1.895976134905566e-05	2.425184e+01	4.330686e-01
1.911897450288316e-05	2.424495e+01	4.329455e-01
1.933662026167363e-05	2.423553e+01	4.327773e-01
1.957662026167394e-05	2.422514e+01	4.325919e-01
1.981662026167424e-05	2.421476e+01	4.324065e-01
2.005662026167455e-05	2.420439e+01	4.322212e-01
2.029662026167486e-05	2.419402e+01	4.320360e-01
2.053662026167517e-05	2.418365e+01	4.318509e-01
2.077662026167548e-05	2.417329e+01	4.316659e-01
2.101662026167579e-05	2.416293e+01	4.314809e-01
2.125662026167610e-05	2.415258e+01	4.312961e-01
2.149662026167641e-05	2.414223e+01	4.311112e-01
2.173662026167672e-05	2.413189e+01	4.309265e-01
2.197662026167703e-05	2.412154e+01	4.307418e-01
2.221662026167734e-05	2.411121e+01	4.305573e-01
2.245662026167765e-05	2.410088e+01	4.303728e-01
2.269662026167796e-05	2.409055e+01	4.301884e-01
2.293662026167827e-05	2.408023e+01	4.300041e-01
2.317662026167858e-05	2.406991e+01	4.298198e-01
2.341662026167889e-05	2.405960e+01	4.296357e-01
2.365662026167920e-05	2.404929e+01	4.294516e-01
2.389662026167950e-05	2.403898e+01	4.292676e-01
2.437662026168012e-05	2.401839e+01	4.288998e-01
2.485662026168074e-05	2.399781e+01	4.285323e-01
2.533662026168136e-05	2.397725e+01	4.281651e-01
2.581662026168198e-05	2.395671e+01	4.277983e-01
2.605662026168229e-05	2.394644e+01	4.276150e-01
2.629662026168260e-05	2.393618e+01	4.274318e-01
2.642666666668320e-05	2.393062e+01	4.273325e-01
2.642766666668267e-05	2.393058e+01	4.273317e-01
2.642966666668162e-05	2.393049e+01	4.273302e-01
2.643315554529992e-05	2.393034e+01	4.273276e-01
2.643649573481205e-05	2.393020e+01	4.273250e-01
2.644317611383458e-05	2.392992e+01	4.273199e-01
